Date Of Stop,Time Of Stop,Agency,SubAgency,Description,Location,Latitude,Longitude,Accident,Belts,Personal Injury,Property Damage,Fatal,Commercial License,HAZMAT,Commercial Vehicle,Alcohol,Work Zone,State,VehicleType,Year,Make,Model,Color,Violation Type,Charge,Article,Contributed To Accident,Race,Gender,Driver City,Driver State,DL State,Arrest Type,Geolocation
1/7/2018,4:49:00,MCP,"4th district, Wheaton",DRIVING VEHICLE IN VIOLATION OF RESTRICTED LICENSE REQUIREMENT,UNIVERSITY BLVD W/INWOOD AVE,39.058455,-77.04797667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2017,HONDA,ACCORD,GRAY,Citation,16-113(h),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.058455, -77.0479766666667)"
1/7/2018,4:49:00,MCP,"4th district, Wheaton",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,UNIVERSITY BLVD W/INWOOD AVE,39.058455,-77.04797667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2017,HONDA,ACCORD,GRAY,Citation,16-303(c),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.058455, -77.0479766666667)"
1/7/2018,4:49:00,MCP,"4th district, Wheaton","DRIVING WHILE LIC. SUSP. UNDER 16-203, 16-206A2 FAIL TO ATTEND DIP, 17-106, 26-204/206, 27-103",UNIVERSITY BLVD W/INWOOD AVE,39.058455,-77.04797667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2017,HONDA,ACCORD,GRAY,Citation,16-303(h),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.058455, -77.0479766666667)"
1/7/2018,4:49:00,MCP,"4th district, Wheaton",FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,UNIVERSITY BLVD W/INWOOD AVE,39.058455,-77.04797667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2017,HONDA,ACCORD,GRAY,Citation,16-116(a),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.058455, -77.0479766666667)"
1/7/2018,16:49:00,MCP,"4th district, Wheaton",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,3210 HEWITT AVE,39.07977333,-77.06417833,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004,GMC,TRUCK,GOLD,Citation,13-411(f),Transportation Article,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0797733333333, -77.0641783333333)"
1/7/2018,16:49:00,MCP,"4th district, Wheaton",DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,3210 HEWITT AVE,39.07977333,-77.06417833,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004,GMC,TRUCK,GOLD,Citation,13-411(d),Transportation Article,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0797733333333, -77.0641783333333)"
1/7/2018,11:02:00,MCP,"2nd district, Bethesda",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,WISCONSIN AVE@ BRADLEY BLVD,38.97605667,-77.09031,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2015,MERCEDES,ML350,BLACK,Citation,13-409(b),Transportation Article,No,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(38.9760566666667, -77.09031)"
1/7/2018,11:02:00,MCP,"2nd district, Bethesda",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,WISCONSIN AVE@ BRADLEY BLVD,38.97605667,-77.09031,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2015,MERCEDES,ML350,BLACK,Citation,13-411(f),Transportation Article,No,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(38.9760566666667, -77.09031)"
1/7/2018,11:02:00,MCP,"2nd district, Bethesda",DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,WISCONSIN AVE@ BRADLEY BLVD,38.97605667,-77.09031,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2015,MERCEDES,ML350,BLACK,Citation,13-411(d),Transportation Article,No,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(38.9760566666667, -77.09031)"
1/7/2018,11:02:00,MCP,"2nd district, Bethesda",OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY,WISCONSIN AVE@ BRADLEY BLVD,38.97605667,-77.09031,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2015,MERCEDES,ML350,BLACK,Citation,13-401(b1),Transportation Article,No,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(38.9760566666667, -77.09031)"
1/7/2018,17:08:00,MCP,"3rd district, Silver Spring",DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,UNIVERSITY BLVD EAST AND BUCKINGHAM DR,39.0054,-76.997235,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003,BMW,4DR,GRAY,Citation,16-101(a1),Transportation Article,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0054, -76.997235)"
1/7/2018,7:53:00,MCP,"3rd district, Silver Spring",PARKING VEH. WITHIN 15 FEET FIRE HYDRANT,9004 ETON RD,39.002875,-77.007505,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1998,FORD,EXPLORER,"GREEN, LGT",Citation,21-1003(m),Transportation Article,No,BLACK,M,HYATTSVILLE,MD,MD,A - Marked Patrol,"(39.002875, -77.007505)"
1/7/2018,13:56:00,MCP,"1st district, Rockville",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,12256 ROCKVILLE PIKE,39.05688,-77.1201,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2015,NISSAN,ALTIMA,BLACK,Citation,13-411(f),Transportation Article,No,WHITE,M,BALTIMORE,MD,MD,A - Marked Patrol,"(39.05688, -77.1201)"
1/7/2018,14:33:00,MCP,"3rd district, Silver Spring",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,SB COLUMBIA PIKE / MUSGROVE RD,39.06796667,-76.95928833,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004,BMW,X3,SILVER,Citation,16-303(c),Transportation Article,No,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0679666666667, -76.9592883333333)"
1/7/2018,14:33:00,MCP,"3rd district, Silver Spring",DRIVING WHILE LIC. SUSP. UNDER 27-103,SB COLUMBIA PIKE / MUSGROVE RD,39.06796667,-76.95928833,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004,BMW,X3,SILVER,Citation,16-303(h),Transportation Article,No,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0679666666667, -76.9592883333333)"
1/7/2018,18:45:00,MCP,"6th district, Gaithersburg / Montgomery Village",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,MVA/CLUBHOUSE,39.17455333,-77.20534167,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008,CADILLAC,4S,BLACK,Citation,13-409(b),Transportation Article,No,WHITE,M,SUNNY ISLES,FL,FL,A - Marked Patrol,"(39.1745533333333, -77.2053416666667)"
1/7/2018,16:56:00,MCP,"4th district, Wheaton",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,GEORGIA AVE/ HEWITT AVE,39.07771,-77.07136167,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013,TOYOTA,COROLLA,SILVER,Citation,16-112(c),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.07771, -77.0713616666667)"
1/7/2018,16:56:00,MCP,"4th district, Wheaton","DRIVING, ATTEMPTING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION",GEORGIA AVE/ HEWITT AVE,39.07771,-77.07136167,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013,TOYOTA,COROLLA,SILVER,Citation,16-101(a1),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.07771, -77.0713616666667)"
1/7/2018,16:56:00,MCP,"4th district, Wheaton",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,GEORGIA AVE/ HEWITT AVE,39.07771,-77.07136167,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013,TOYOTA,COROLLA,SILVER,Citation,13-411(f),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.07771, -77.0713616666667)"
1/7/2018,16:56:00,MCP,"4th district, Wheaton",DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,GEORGIA AVE/ HEWITT AVE,39.07771,-77.07136167,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013,TOYOTA,COROLLA,SILVER,Citation,13-411(d),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.07771, -77.0713616666667)"
1/7/2018,17:55:00,MCP,"4th district, Wheaton",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,GRIDLEY RD/ VEIRS MILL RD,39.06245333,-77.091225,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004,ACURA,MDX,BLACK,Citation,16-303(c),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0624533333333, -77.091225)"
1/7/2018,17:55:00,MCP,"4th district, Wheaton",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED LICENSE AND PRIVILEGE,GRIDLEY RD/ VEIRS MILL RD,39.06245333,-77.091225,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004,ACURA,MDX,BLACK,Citation,16-303(d),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0624533333333, -77.091225)"
1/7/2018,17:55:00,MCP,"4th district, Wheaton",POSSESSING SUSPENDED LIC.,GRIDLEY RD/ VEIRS MILL RD,39.06245333,-77.091225,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004,ACURA,MDX,BLACK,Citation,16-301(j),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0624533333333, -77.091225)"
1/7/2018,17:55:00,MCP,"4th district, Wheaton",POSSESSING REVOKED LIC.,GRIDLEY RD/ VEIRS MILL RD,39.06245333,-77.091225,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004,ACURA,MDX,BLACK,Citation,16-301(i),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0624533333333, -77.091225)"
1/7/2018,17:55:00,MCP,"4th district, Wheaton",FAILURE VEH. TO YIELD INTERSECTION RIGHT-OF-WAY TO ANOTHER VEH.,GRIDLEY RD/ VEIRS MILL RD,39.06245333,-77.091225,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004,ACURA,MDX,BLACK,Citation,21-401,Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0624533333333, -77.091225)"
1/7/2018,14:33:00,MCP,"4th district, Wheaton",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,2424 REEDIE DR,39.03845833,-77.05163,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2000,TOYOTA,COROLLA,MAROON,Citation,13-409(b),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,XX,A - Marked Patrol,"(39.0384583333333, -77.05163)"
1/7/2018,14:33:00,MCP,"4th district, Wheaton",FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,2424 REEDIE DR,39.03845833,-77.05163,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2000,TOYOTA,COROLLA,MAROON,Citation,13-411(a),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,XX,A - Marked Patrol,"(39.0384583333333, -77.05163)"
1/7/2018,14:33:00,MCP,"4th district, Wheaton",OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY,2424 REEDIE DR,39.03845833,-77.05163,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2000,TOYOTA,COROLLA,MAROON,Citation,13-401(b1),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,XX,A - Marked Patrol,"(39.0384583333333, -77.05163)"
1/7/2018,14:33:00,MCP,"4th district, Wheaton",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,2424 REEDIE DR,39.03845833,-77.05163,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2000,TOYOTA,COROLLA,MAROON,Citation,13-411(f),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,XX,A - Marked Patrol,"(39.0384583333333, -77.05163)"
1/7/2018,14:33:00,MCP,"4th district, Wheaton",DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,2424 REEDIE DR,39.03845833,-77.05163,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2000,TOYOTA,COROLLA,MAROON,Citation,13-411(d),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,XX,A - Marked Patrol,"(39.0384583333333, -77.05163)"
1/7/2018,14:33:00,MCP,"4th district, Wheaton",UNAUTHORIZED DISPLAY AND USE OF REGISTRATION PLATE,2424 REEDIE DR,39.03845833,-77.05163,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2000,TOYOTA,COROLLA,MAROON,Citation,13-703(g),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,XX,A - Marked Patrol,"(39.0384583333333, -77.05163)"
1/7/2018,14:33:00,MCP,"4th district, Wheaton",DISPLAYING REG. PLATE ISSUED FOR OTHER VEHICLE,2424 REEDIE DR,39.03845833,-77.05163,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2000,TOYOTA,COROLLA,MAROON,Citation,13-411(g),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,XX,A - Marked Patrol,"(39.0384583333333, -77.05163)"
1/7/2018,14:33:00,MCP,"4th district, Wheaton",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,2424 REEDIE DR,39.03845833,-77.05163,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2000,TOYOTA,COROLLA,MAROON,Citation,16-112(c),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,XX,A - Marked Patrol,"(39.0384583333333, -77.05163)"
1/7/2018,14:33:00,MCP,"4th district, Wheaton",DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,2424 REEDIE DR,39.03845833,-77.05163,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2000,TOYOTA,COROLLA,MAROON,Citation,16-101(a1),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,XX,A - Marked Patrol,"(39.0384583333333, -77.05163)"
1/7/2018,14:33:00,MCP,"4th district, Wheaton",KNOWINGLY DRIVING UNINSURED VEHICLE,2424 REEDIE DR,39.03845833,-77.05163,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2000,TOYOTA,COROLLA,MAROON,Citation,17-107(a1),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,XX,A - Marked Patrol,"(39.0384583333333, -77.05163)"
1/7/2018,14:33:00,MCP,"4th district, Wheaton",PERMITTING VEH. TO BE DRIVEN ON HWY. W/O CURRENT REGISTRATION & VALIDATION TABS ISSUED BY ADM.,2424 REEDIE DR,39.03845833,-77.05163,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2000,TOYOTA,COROLLA,MAROON,Citation,13-411(e),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,XX,A - Marked Patrol,"(39.0384583333333, -77.05163)"
1/7/2018,21:28:00,MCP,"5th district, Germantown",EXCEEDING POSTED MAXIMUM SPEED LIMIT: 61 MPH IN A POSTED 40 MPH ZONE,NB 27 AT SNOWDEN FARM PKY,39.21904167,-77.23851333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007,CHEVY,MONTE CARLO SS,MULTICOLOR,Citation,21-801.1,Transportation Article,No,BLACK,M,CLARKSBURG,MD,MD,A - Marked Patrol,"(39.2190416666667, -77.2385133333333)"
1/7/2018,21:49:00,MCP,"5th district, Germantown",EXCEEDING POSTED MAXIMUM SPEED LIMIT: 63 MPH IN A POSTED 40 MPH ZONE,NB 27 AT SNOWDEN FARM PKY,39.21945167,-77.23844167,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2015,KIA,OPTIMA,BRONZE,Citation,21-801.1,Transportation Article,No,HISPANIC,M,WESTMINSTER,MD,MD,A - Marked Patrol,"(39.2194516666667, -77.2384416666667)"
1/7/2018,22:01:00,MCP,"5th district, Germantown",EXCEEDING POSTED MAXIMUM SPEED LIMIT: 62 MPH IN A POSTED 40 MPH ZONE,NB 27 AT SNOWDEN FARM PKY,39.21771333,-77.23867167,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2016,TOYOTA,SDN,GRAY,Citation,21-801.1,Transportation Article,No,WHITE,M,MT AIRY,MD,MD,A - Marked Patrol,"(39.2177133333333, -77.2386716666667)"
1/7/2018,13:02:00,MCP,"4th district, Wheaton",EXCEEDING POSTED MAXIMUM SPEED LIMIT: 44 MPH IN A POSTED 35 MPH ZONE,GEORGIA AVE @ EVANS PKWY,39.024475,-77.045955,No,No,No,No,No,No,No,No,No,No,VA,02 - Automobile,2015,MAZDA,3,BLACK,Citation,21-801.1,Transportation Article,No,HISPANIC,F,WASHINGTON,DC,DC,Q - Marked Laser,"(39.024475, -77.045955)"
1/7/2018,13:41:00,MCP,"4th district, Wheaton",EXCEEDING POSTED MAXIMUM SPEED LIMIT: 51 MPH IN A POSTED 35 MPH ZONE,GEORGIA AVE @ EVANS PKWY,39.02465667,-77.04593,No,No,No,No,No,No,No,No,No,No,DC,02 - Automobile,1997,NISSAN,ALTIMA,GOLD,Citation,21-801.1,Transportation Article,No,HISPANIC,M,WASHINGTON,DC,DC,Q - Marked Laser,"(39.0246566666667, -77.04593)"
1/7/2018,17:48:00,MCP,"5th district, Germantown",DRIVING VEH WHILE SO FAR IMPAIRED BY DRUGS CANNOT DRIVE SAFELY,FREDERICK ROAD@WHEATFIELD DR,39.18246167,-77.24241667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1996,DODGE,RAM,GREEN,Citation,21-902(c1i),Transportation Article,No,BLACK,M,POOLESVILLE,MD,MD,A - Marked Patrol,"(39.1824616666667, -77.2424166666667)"
1/7/2018,17:48:00,MCP,"5th district, Germantown",DRIVING VEH. WHILE IMPAIRED BY A CONTROLLED DANGEROUS SUBSTANCE,FREDERICK ROAD@WHEATFIELD DR,39.18246167,-77.24241667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1996,DODGE,RAM,GREEN,Citation,21-902(d1i),Transportation Article,No,BLACK,M,POOLESVILLE,MD,MD,A - Marked Patrol,"(39.1824616666667, -77.2424166666667)"
1/7/2018,17:48:00,MCP,"5th district, Germantown",DRIVER CHANGING LANES WHEN UNSAFE,FREDERICK ROAD@WHEATFIELD DR,39.18246167,-77.24241667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1996,DODGE,RAM,GREEN,Citation,21-309(b),Transportation Article,No,BLACK,M,POOLESVILLE,MD,MD,A - Marked Patrol,"(39.1824616666667, -77.2424166666667)"
1/7/2018,17:48:00,MCP,"5th district, Germantown",FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED,FREDERICK ROAD@WHEATFIELD DR,39.18246167,-77.24241667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1996,DODGE,RAM,GREEN,Citation,21-301(a),Transportation Article,No,BLACK,M,POOLESVILLE,MD,MD,A - Marked Patrol,"(39.1824616666667, -77.2424166666667)"
1/7/2018,17:48:00,MCP,"5th district, Germantown",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,FREDERICK ROAD@WHEATFIELD DR,39.18246167,-77.24241667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1996,DODGE,RAM,GREEN,Citation,21-201(a1),Transportation Article,No,BLACK,M,POOLESVILLE,MD,MD,A - Marked Patrol,"(39.1824616666667, -77.2424166666667)"
1/7/2018,17:48:00,MCP,"5th district, Germantown",RECKLESS DRIVING VEHICLE IN WANTON AND WILLFUL DISREGARD FOR SAFETY OF PERSONS AND PROPERTY,FREDERICK ROAD@WHEATFIELD DR,39.18246167,-77.24241667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1996,DODGE,RAM,GREEN,Citation,21-901.1(a),Transportation Article,No,BLACK,M,POOLESVILLE,MD,MD,A - Marked Patrol,"(39.1824616666667, -77.2424166666667)"
1/7/2018,17:48:00,MCP,"5th district, Germantown","NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY, LIFE AND PERSON",FREDERICK ROAD@WHEATFIELD DR,39.18246167,-77.24241667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1996,DODGE,RAM,GREEN,Citation,21-901.1(b),Transportation Article,No,BLACK,M,POOLESVILLE,MD,MD,A - Marked Patrol,"(39.1824616666667, -77.2424166666667)"
1/7/2018,17:48:00,MCP,"5th district, Germantown",FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,FREDERICK ROAD@WHEATFIELD DR,39.18246167,-77.24241667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1996,DODGE,RAM,GREEN,Citation,21-801(b),Transportation Article,No,BLACK,M,POOLESVILLE,MD,MD,A - Marked Patrol,"(39.1824616666667, -77.2424166666667)"
1/7/2018,17:48:00,MCP,"5th district, Germantown",UNLAWFUL USE OF HISTORIC TRUCK FOR GENERAL DAILY TRANSPORTATION,FREDERICK ROAD@WHEATFIELD DR,39.18246167,-77.24241667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1996,DODGE,RAM,GREEN,Citation,13-936E2I,Transportation Article,No,BLACK,M,POOLESVILLE,MD,MD,A - Marked Patrol,"(39.1824616666667, -77.2424166666667)"
1/7/2018,20:12:00,MCP,"2nd district, Bethesda",EXCEEDING POSTED MAXIMUM SPEED LIMIT: 56 MPH IN A POSTED 30 MPH ZONE,E BOUND E/W HWY AT EDGEVALE ST,38.98785167,-77.078035,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1999,BMW,528/I,SILVER,Citation,21-801.1,Transportation Article,No,WHITE,F,CHEVY CHASE,MD,MD,Q - Marked Laser,"(38.9878516666667, -77.078035)"
1/7/2018,20:26:00,MCP,"2nd district, Bethesda",EXCEEDING POSTED MAXIMUM SPEED LIMIT: 46 MPH IN A POSTED 30 MPH ZONE,E BOUND E/W HWY AT EDGEVALE ST,38.98867,-77.077065,No,No,No,No,No,No,No,No,No,No,MD,05 - Light Duty Truck,2015,GMC,TERRAIN,WHITE,Citation,21-801.1,Transportation Article,No,WHITE,F,SILVER SPRING,MD,MD,Q - Marked Laser,"(38.98867, -77.077065)"
1/7/2018,16:35:00,MCP,"4th district, Wheaton",DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,RANDOLPH RD/ GLENMONT CIR,39.058665,-77.04893667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2001,HOND,ACCORD,MAROON,Citation,21-202(h1),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.058665, -77.0489366666667)"
1/7/2018,22:40:00,MCP,"2nd district, Bethesda",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,WOODMONT AVE/ST. ELMO AVE,38.98948833,-77.09623667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2001,HONDA,4D,SILVER,Citation,13-411(f),Transportation Article,No,HISPANIC,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(38.9894883333333, -77.0962366666667)"
1/7/2018,22:40:00,MCP,"2nd district, Bethesda",DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,WOODMONT AVE/ST. ELMO AVE,38.98948833,-77.09623667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2001,HONDA,4D,SILVER,Citation,13-411(d),Transportation Article,No,HISPANIC,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(38.9894883333333, -77.0962366666667)"
1/7/2018,8:06:00,MCP,"6th district, Gaithersburg / Montgomery Village",DRIVER CHANGING LANES WHEN UNSAFE,WATKINS MILL RD/ CLUB LAKE RD,39.01956667,-77.12159567,No,No,No,No,No,No,No,No,No,No,MD,05 - Light Duty Truck,1997,MAZDA,TRUCK,RED,Citation,21-309(b),Transportation Article,Yes,HISPANIC,M,GAITHERSBURG,MD,MD,A - Marked Patrol,"(39.0195666666667, -77.1215956666667)"
1/7/2018,17:35:00,MCP,"4th district, Wheaton",DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,GEORGIA AVE / INWOOD AVE,39.034075,-77.04913667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2017,TOYT,TACOMA,GRAY,Citation,16-101(a1),Transportation Article,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.034075, -77.0491366666667)"
1/7/2018,17:35:00,MCP,"4th district, Wheaton",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,GEORGIA AVE / INWOOD AVE,39.034075,-77.04913667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2017,TOYT,TACOMA,GRAY,Citation,16-112(c),Transportation Article,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.034075, -77.0491366666667)"
1/7/2018,17:35:00,MCP,"4th district, Wheaton","FAILURE OF VEH. ON HWY. TO DISPLAY LIGHTED LAMPS, ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND",GEORGIA AVE / INWOOD AVE,39.034075,-77.04913667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2017,TOYT,TACOMA,GRAY,Citation,22-201.1,Transportation Article,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.034075, -77.0491366666667)"
1/7/2018,17:48:00,MCP,"4th district, Wheaton",OWNER KNOWINGLY PERMITTING MOTOR VEH. TO BE DRIVEN ON HWY. BY UNAUTHORIZED PERSON,GEORGIA AVE / VEIRS MILL RD,39.034075,-77.04913667,No,No,No,No,No,No,No,No,No,No,MD,01 - Motorcycle,2017,TOYT,TACOMA,GRAY,Citation,16-305(a),Transportation Article,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.034075, -77.0491366666667)"
